iter	Logloss
0	0.689186505
1	0.6879659063
2	0.6842023679
3	0.6815207883
4	0.6778359554
5	0.6743949838
6	0.672147055
7	0.6688113246
8	0.6655938767
9	0.6606425795
10	0.6580254965
11	0.6525639802
12	0.6494596582
13	0.6473614476
14	0.6464545679
15	0.6443574432
16	0.6411849746
17	0.6375236665
18	0.6327414549
19	0.628074994
20	0.626665565
21	0.6258903753
22	0.6241675414
23	0.6225044668
24	0.6217790965
25	0.6198916108
26	0.6177008105
27	0.6142125451
28	0.612561206
29	0.6087779609
30	0.6081505568
31	0.6034508313
32	0.6028488039
33	0.6022590248
34	0.5985498922
35	0.5971313454
36	0.5947769141
37	0.5929615192
38	0.5890927745
39	0.587618041
40	0.5828047715
41	0.5817269192
42	0.5804529444
43	0.5793083517
44	0.5788433624
45	0.5766605186
46	0.5752507054
47	0.5727111566
48	0.5722734194
49	0.5718566736
50	0.5699262573
51	0.5691496541
52	0.5680274254
53	0.5662554006
54	0.5631724576
55	0.5627719591
56	0.5600530522
57	0.5561490657
58	0.5540463934
59	0.551685144
60	0.5509433798
61	0.5506235928
62	0.5472276979
63	0.5435769805
64	0.5401064998
65	0.5397036537
66	0.5393506033
67	0.5369471103
68	0.5353050624
69	0.5350105505
70	0.5322971373
71	0.5298488179
72	0.5295985364
73	0.5286807733
74	0.5272781592
75	0.5256116815
76	0.5231480081
77	0.5218190006
78	0.5185271012
79	0.5162546822
80	0.513038807
81	0.5104239912
82	0.5097960869
83	0.5096020699
84	0.5066802738
85	0.5060945609
86	0.5033209525
87	0.5027099329
88	0.4999620967
89	0.4974871316
90	0.4945184382
91	0.4915084742
92	0.488682476
93	0.4872141563
94	0.4849639072
95	0.4841182868
96	0.4827084151
97	0.4817864761
98	0.481638535
99	0.4787852039
100	0.475581256
101	0.4731929761
102	0.471512106
103	0.4694343671
104	0.4689369137
105	0.4662987451
106	0.4648006918
107	0.4616137459
108	0.4596502212
109	0.4569892748
110	0.4545173157
111	0.4533833876
112	0.4532604951
113	0.4512718315
114	0.4488483462
115	0.4485113543
116	0.446145934
117	0.4454190116
118	0.4444135288
119	0.4420881657
120	0.4415465794
121	0.4394086394
122	0.4368161394
123	0.4367188396
124	0.4363669338
125	0.4358789626
126	0.4334672631
127	0.4313875566
128	0.430254729
129	0.4299474229
130	0.4279836251
131	0.427454682
132	0.4249598575
133	0.4246453256
134	0.4224084374
135	0.4217119462
136	0.419181906
137	0.4168095697
138	0.4138280367
139	0.4115113439
140	0.4095829428
141	0.4080992427
142	0.4061347994
143	0.4047821097
144	0.4027743587
145	0.4012980109
146	0.3991628883
147	0.3971037349
148	0.3967469431
149	0.3963404278
150	0.3945821841
151	0.393402486
152	0.3914428456
153	0.3913920329
154	0.3896622346
155	0.3892698756
156	0.3884354439
157	0.3864299344
158	0.3863840065
159	0.3862371861
160	0.3842134929
161	0.3840095632
162	0.3837340419
163	0.3836392073
164	0.3821815882
165	0.3802072107
166	0.3781208966
167	0.3763497347
168	0.3743748401
169	0.3727899532
170	0.3727465203
171	0.3710813462
172	0.3706169698
173	0.3687206147
174	0.3680179023
175	0.3661914289
176	0.3660703277
177	0.3642226624
178	0.3620446706
179	0.3618842747
180	0.3615777468
181	0.3605846195
182	0.3605561813
183	0.3594373829
184	0.3575935094
185	0.357349177
186	0.3569690811
187	0.3560593515
188	0.3558184654
189	0.355763954
190	0.3554770128
191	0.3535663371
192	0.353509191
193	0.3526538706
194	0.3504718534
195	0.3501883975
196	0.3490369537
197	0.3487097827
198	0.3478539619
199	0.346131765
200	0.3445483103
201	0.3431781453
202	0.3431255962
203	0.3427433433
204	0.3414257585
205	0.3409394433
206	0.3393623806
207	0.3376190561
208	0.3364346121
209	0.3361494934
210	0.3344720388
211	0.3344389765
212	0.3339402809
213	0.3325763534
214	0.3316480689
215	0.3313163482
216	0.3306160907
217	0.3304535525
218	0.3286711341
219	0.3270145191
220	0.3265960824
221	0.3249942863
222	0.3244605559
223	0.3233667323
224	0.3233477479
225	0.3233002203
226	0.323110852
227	0.322393071
228	0.3211405486
229	0.3196524478
230	0.3182696595
231	0.3168811296
232	0.3149835859
233	0.3138966808
234	0.3137591286
235	0.3131863946
236	0.312764167
237	0.3126199167
238	0.3110595232
239	0.3095550853
240	0.3089669815
241	0.3081603687
242	0.3068421072
243	0.3067450556
244	0.3063153855
245	0.3062021439
246	0.305246718
247	0.3048953064
248	0.3033855176
249	0.3031383104
250	0.3029026572
251	0.3017849269
252	0.3006103654
253	0.2993182229
254	0.2989456118
255	0.2976325018
256	0.2974759241
257	0.2959668589
258	0.295955341
259	0.2944662269
260	0.2931502863
261	0.2930259065
262	0.2921756974
263	0.290838698
264	0.2907433753
265	0.2905565713
266	0.2891141429
267	0.2880890092
268	0.2879168703
269	0.287902623
270	0.287698544
271	0.2876924527
272	0.2865028139
273	0.2851539897
274	0.2841910861
275	0.2826931662
276	0.2825988033
277	0.2812823734
