iter	Passed	Remaining
0	61	61509
1	94	47113
2	126	42165
3	145	36114
4	174	34795
5	207	34312
6	216	30769
7	260	32260
8	275	30295
9	391	38797
10	414	37227
11	606	49957
12	672	51081
13	696	49023
14	704	46231
15	730	44916
16	799	46216
17	841	45918
18	1082	55872
19	1207	59191
20	1223	57021
21	1268	56376
22	1286	54641
23	1311	53315
24	1324	51646
25	1375	51541
26	1391	50144
27	1459	50670
28	1474	49353
29	1642	53100
30	1651	51629
31	1854	56085
32	1866	54686
33	1872	53188
34	2061	56848
35	2089	55950
36	2145	55839
37	2156	54597
38	2314	57043
39	2338	56120
40	2524	59042
41	2542	57982
42	2554	56842
43	2562	55682
44	2567	54480
45	2624	54439
46	2636	53453
47	2663	52818
48	2669	51812
49	2675	50832
50	2686	49990
51	2703	49279
52	2725	48704
53	2760	48367
54	2927	50304
55	2941	49583
56	3135	51873
57	3217	52263
58	3248	51810
59	3296	51650
60	3309	50948
61	3316	50175
62	3393	50473
63	3559	52051
64	3746	53896
65	3765	53285
66	3773	52550
67	3844	52691
68	3871	52237
69	3881	51570
70	4069	53249
71	4110	52975
72	4114	52252
73	4134	51731
74	4160	51317
75	4179	50812
76	4360	52272
77	4380	51777
78	4572	53307
79	4638	53342
80	4807	54549
81	4850	54307
82	4859	53691
83	4865	53059
84	5023	54080
85	5046	53631
86	5274	55353
87	5300	54931
88	5517	56481
89	5603	56662
90	5780	57741
91	5950	58726
92	6182	60293
93	6230	60048
94	6435	61308
95	6471	60942
96	6505	60563
97	6533	60136
98	6542	59546
99	6725	60527
100	6917	61569
101	7109	62587
102	7273	63343
103	7710	66428
104	7717	65784
105	7819	65949
106	8004	66805
107	8068	66638
108	8269	67596
109	8470	68535
110	8723	69869
111	9061	71840
112	9071	71209
113	9240	71814
114	9413	72444
115	9445	71979
116	9614	72558
117	9651	72139
118	9669	71585
119	9865	72348
120	9888	71835
121	10067	72455
122	10433	74392
123	10443	73780
124	10477	73342
125	10503	72858
126	10679	73409
127	10852	73932
128	10911	73674
129	10923	73106
130	11093	73588
131	11119	73116
132	11439	74574
133	11471	74136
134	11654	74672
135	11677	74187
136	11862	74726
137	12084	75482
138	12292	76142
139	12516	76887
140	12855	78317
141	13053	78872
142	13266	79503
143	13477	80113
144	13688	80712
145	13893	81265
146	14083	81725
147	14282	82220
148	14312	81745
149	14331	81209
150	14640	82318
151	14706	82046
152	14910	82545
153	14920	81963
154	15106	82355
155	15139	81908
156	15168	81444
157	15381	81968
158	15392	81413
159	15406	80884
160	15587	81229
161	15603	80712
162	15619	80203
163	15630	79676
164	15668	79292
165	15888	79823
166	16081	80215
167	16286	80656
168	16486	81067
169	16588	80993
170	16595	80454
171	16789	80823
172	16826	80437
173	17004	80723
174	17180	80994
175	17383	81384
176	17389	80856
177	17589	81229
178	17800	81644
179	17824	81200
180	17840	80726
181	17884	80381
182	17889	79865
183	17947	79592
184	18198	80170
185	18219	79734
186	18285	79500
187	18327	79158
188	18347	78728
189	18356	78256
190	18370	77811
191	18538	78014
192	18555	77586
193	18583	77207
194	18789	77568
195	18833	77256
196	18998	77442
197	19022	77050
198	19044	76657
199	19216	76866
200	19393	77092
201	19562	77282
202	19579	76872
203	19635	76618
204	19860	77019
205	19897	76690
206	20175	77291
207	20399	77676
208	20593	77940
209	20616	77557
210	20695	77386
211	20705	76963
212	20728	76589
213	20821	76475
214	20864	76181
215	20877	75776
216	20959	75626
217	20981	75263
218	21333	76079
219	21548	76400
220	21571	76036
221	21795	76383
222	21867	76194
223	22088	76521
224	22109	76154
225	22118	75752
226	22131	75365
227	22156	75021
228	22330	75182
229	22492	75302
230	22681	75507
231	22864	75688
232	23095	76027
233	23456	76783
234	23470	76403
235	23492	76051
236	23512	75695
237	23521	75307
238	23721	75533
239	23946	75829
240	23977	75513
241	24146	75632
242	24369	75916
243	24385	75553
244	24429	75283
245	24475	75018
246	24744	75434
247	24763	75090
248	24963	75291
249	25006	75019
250	25040	74723
251	25251	74953
252	25465	75188
253	25683	75432
254	25719	75141
255	25928	75353
256	25951	75026
257	26143	75187
258	26161	74847
259	26342	74974
260	26454	74902
261	26460	74534
262	26515	74305
263	26868	74905
264	26889	74579
265	26912	74261
266	27007	74145
267	27255	74445
268	27295	74174
269	27309	73835
270	27335	73534
271	27343	73185
272	27428	73041
273	27632	73216
274	27885	73515
275	28150	73842
276	28189	73578
277	28522	74075
278	28846	74546
279	28883	74271
280	29131	74538
281	29180	74295
282	29476	74681
283	29523	74431
284	29711	74538
285	29917	74688
286	30166	74942
287	30395	75143
288	30406	74806
289	30587	74886
290	30619	74602
291	31035	75251
292	31047	74917
293	31081	74637
294	31342	74903
295	31505	74931
296	31816	75310
297	32125	75679
298	32135	75340
299	32157	75033
300	32475	75417
301	32501	75120
302	32667	75146
303	32878	75274
304	32913	75000
305	32922	74666
306	33095	74707
307	33112	74395
308	33136	74102
309	33317	74158
310	33498	74213
311	33527	73931
312	33531	73598
313	33613	73434
314	33827	73561
315	33875	73326
316	34156	73592
317	34381	73735
318	34421	73483
319	34622	73573
320	34836	73689
321	34863	73409
322	34871	73090
323	35039	73108
324	35252	73215
325	35266	72913
326	35586	73240
327	35631	73001
328	35839	73094
329	35914	72917
330	36090	72943
331	36261	72960
332	36280	72670
333	36287	72356
334	36500	72455
335	36524	72179
336	36532	71872
337	36729	71936
338	36968	72082
339	37174	72162
340	37278	72043
341	37283	71732
342	37304	71454
343	37582	71668
344	37632	71446
345	37936	71707
346	37943	71404
347	38080	71346
348	38086	71043
349	38258	71051
350	38314	70843
351	38487	70852
352	38692	70918
353	38845	70888
354	39020	70896
355	39203	70918
356	39264	70720
357	39441	70731
358	39473	70480
359	39654	70497
